[I 240930 11:08:19 webSocket:62] on open
[I 240930 11:08:31 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6620367, 'exchange_timestamp': 1727674698000, 'last_traded_price': 5330635, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:31 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6620512, 'exchange_timestamp': 1727674698000, 'last_traded_price': 2594530, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:32 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6620820, 'exchange_timestamp': 1727674698000, 'last_traded_price': 5330615, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:32 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6620895, 'exchange_timestamp': 1727674699000, 'last_traded_price': 2594500, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:32 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6621114, 'exchange_timestamp': 1727674699000, 'last_traded_price': 5330495, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:32 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6621245, 'exchange_timestamp': 1727674699000, 'last_traded_price': 2594560, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:33 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6621548, 'exchange_timestamp': 1727674699000, 'last_traded_price': 5330965, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:33 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6621634, 'exchange_timestamp': 1727674700000, 'last_traded_price': 2594605, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:33 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6621866, 'exchange_timestamp': 1727674700000, 'last_traded_price': 5331315, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:34 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6622007, 'exchange_timestamp': 1727674700000, 'last_traded_price': 2594590, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:34 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6622283, 'exchange_timestamp': 1727674700000, 'last_traded_price': 5331470, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:34 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6622362, 'exchange_timestamp': 1727674701000, 'last_traded_price': 2594715, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:34 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6622590, 'exchange_timestamp': 1727674701000, 'last_traded_price': 5331760, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:34 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6622724, 'exchange_timestamp': 1727674701000, 'last_traded_price': 2594565, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:35 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6623024, 'exchange_timestamp': 1727674701000, 'last_traded_price': 5331260, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:35 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6623113, 'exchange_timestamp': 1727674702000, 'last_traded_price': 2594715, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:35 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6623348, 'exchange_timestamp': 1727674702000, 'last_traded_price': 5331095, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:35 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6623485, 'exchange_timestamp': 1727674702000, 'last_traded_price': 2594635, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:36 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6623769, 'exchange_timestamp': 1727674702000, 'last_traded_price': 5331710, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:36 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6623855, 'exchange_timestamp': 1727674703000, 'last_traded_price': 2594790, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:36 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6624082, 'exchange_timestamp': 1727674703000, 'last_traded_price': 5331650, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:36 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6624220, 'exchange_timestamp': 1727674703000, 'last_traded_price': 2594765, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:37 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6624503, 'exchange_timestamp': 1727674703000, 'last_traded_price': 5332175, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:37 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6624599, 'exchange_timestamp': 1727674704000, 'last_traded_price': 2594815, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:37 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6624830, 'exchange_timestamp': 1727674704000, 'last_traded_price': 5331825, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:37 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6624964, 'exchange_timestamp': 1727674704000, 'last_traded_price': 2594780, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:38 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6625257, 'exchange_timestamp': 1727674704000, 'last_traded_price': 5331750, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:38 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6625361, 'exchange_timestamp': 1727674705000, 'last_traded_price': 2594895, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:38 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6625601, 'exchange_timestamp': 1727674705000, 'last_traded_price': 5331740, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:38 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6625735, 'exchange_timestamp': 1727674705000, 'last_traded_price': 2594760, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:39 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6626018, 'exchange_timestamp': 1727674705000, 'last_traded_price': 5331820, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:39 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6626109, 'exchange_timestamp': 1727674706000, 'last_traded_price': 2594740, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:39 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6626338, 'exchange_timestamp': 1727674706000, 'last_traded_price': 5332065, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:39 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6626477, 'exchange_timestamp': 1727674706000, 'last_traded_price': 2594805, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:40 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6626754, 'exchange_timestamp': 1727674706000, 'last_traded_price': 5331600, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:40 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6626851, 'exchange_timestamp': 1727674707000, 'last_traded_price': 2594740, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:40 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6627077, 'exchange_timestamp': 1727674707000, 'last_traded_price': 5331510, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:40 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6627205, 'exchange_timestamp': 1727674707000, 'last_traded_price': 2594655, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:41 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6627484, 'exchange_timestamp': 1727674707000, 'last_traded_price': 5331830, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:41 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6627569, 'exchange_timestamp': 1727674708000, 'last_traded_price': 2594760, 'subscription_mode_val': 'LTP'}
