[I 241003 09:20:37 webSocket:62] WebSocket connection opened
[I 241003 09:24:22 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1297605, 'exchange_timestamp': 1727927649000, 'last_traded_price': 5244305, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:22 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1298174, 'exchange_timestamp': 1727927649000, 'last_traded_price': 5244835, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:23 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1298611, 'exchange_timestamp': 1727927650000, 'last_traded_price': 5244790, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:23 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1299184, 'exchange_timestamp': 1727927650000, 'last_traded_price': 5244810, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1299613, 'exchange_timestamp': 1727927651000, 'last_traded_price': 5244790, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1300068, 'exchange_timestamp': 1727927651000, 'last_traded_price': 5244790, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1300070, 'exchange_timestamp': 1727927651000, 'last_traded_price': 5244790, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1300073, 'exchange_timestamp': 1727927651000, 'last_traded_price': 5244790, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1300075, 'exchange_timestamp': 1727927651000, 'last_traded_price': 5244790, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1300077, 'exchange_timestamp': 1727927651000, 'last_traded_price': 5244790, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1300113, 'exchange_timestamp': 1727927651000, 'last_traded_price': 5244790, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:24 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1300420, 'exchange_timestamp': 1727927651000, 'last_traded_price': 5244785, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:25 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1300878, 'exchange_timestamp': 1727927652000, 'last_traded_price': 5244395, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:25 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1301193, 'exchange_timestamp': 1727927652000, 'last_traded_price': 5244395, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1301195, 'exchange_timestamp': 1727927652000, 'last_traded_price': 5244395, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1301198, 'exchange_timestamp': 1727927652000, 'last_traded_price': 5244395, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1301200, 'exchange_timestamp': 1727927652000, 'last_traded_price': 5244395, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1301205, 'exchange_timestamp': 1727927652000, 'last_traded_price': 5244395, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1301238, 'exchange_timestamp': 1727927652000, 'last_traded_price': 5244395, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1301688, 'exchange_timestamp': 1727927652000, 'last_traded_price': 5244135, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302235, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244135, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302240, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244135, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302242, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244135, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302244, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244135, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302249, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244135, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302286, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244135, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302366, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
